,target,item_id
2020-07-31 00:00:00 UTC,1.688418732,A
2020-08-01 00:00:00 UTC,1.538097032,A
2020-08-02 00:00:00 UTC,1.533137395,A
2020-08-03 00:00:00 UTC,1.746015674,A
2020-08-04 00:00:00 UTC,1.800363681,A
2020-08-05 00:00:00 UTC,1.897307255,A
2020-08-06 00:00:00 UTC,1.761183319,A
2020-08-07 00:00:00 UTC,2.201922492,A
2020-08-08 00:00:00 UTC,2.073120413,A
2020-08-09 00:00:00 UTC,2.473401784,A
2020-08-10 00:00:00 UTC,2.659002831,A
2020-08-11 00:00:00 UTC,3.135883739,A
2020-08-12 00:00:00 UTC,3.264869118,A
2020-08-13 00:00:00 UTC,3.74138793,A
2020-08-14 00:00:00 UTC,3.733675413,A
2020-08-15 00:00:00 UTC,3.41749722,A
2020-08-16 00:00:00 UTC,3.173195437,A
2020-08-17 00:00:00 UTC,3.385226728,A
2020-08-18 00:00:00 UTC,3.103088944,A
2020-08-19 00:00:00 UTC,3.331062075,A
2020-08-20 00:00:00 UTC,2.896131068,A
2020-08-21 00:00:00 UTC,3.206502582,A
2020-08-22 00:00:00 UTC,2.933189414,A
2020-08-23 00:00:00 UTC,3.021765596,A
2020-08-24 00:00:00 UTC,3.329934051,A
2020-08-25 00:00:00 UTC,3.339777044,A
2020-08-26 00:00:00 UTC,3.261241607,A
2020-08-27 00:00:00 UTC,3.551066941,A
2020-08-28 00:00:00 UTC,3.430616122,A
2020-08-29 00:00:00 UTC,4.011416157,A
2020-08-30 00:00:00 UTC,3.972282229,A
2020-08-31 00:00:00 UTC,4.436663533,A
2020-09-01 00:00:00 UTC,4.794461849,A
2020-09-02 00:00:00 UTC,4.304353616,A
2020-09-03 00:00:00 UTC,4.176224469,A
2020-09-04 00:00:00 UTC,3.513971152,A
2020-09-05 00:00:00 UTC,3.540717454,A
2020-09-06 00:00:00 UTC,2.595171711,A
2020-09-07 00:00:00 UTC,3.087153752,A
2020-09-08 00:00:00 UTC,2.906438018,A
2020-09-09 00:00:00 UTC,2.474280635,A
2020-09-10 00:00:00 UTC,3.634370351,A
2020-09-11 00:00:00 UTC,3.453090001,A
2020-09-12 00:00:00 UTC,3.446208523,A
2020-09-13 00:00:00 UTC,3.332662087,A
2020-09-14 00:00:00 UTC,3.224798312,A
2020-09-15 00:00:00 UTC,3.26239121,A
2020-09-16 00:00:00 UTC,2.931693208,A
2020-09-17 00:00:00 UTC,2.549465406,A
2020-09-18 00:00:00 UTC,2.919199303,A
2020-09-19 00:00:00 UTC,3.084079827,A
2020-09-20 00:00:00 UTC,3.014728897,A
2020-09-21 00:00:00 UTC,2.867958258,A
2020-09-22 00:00:00 UTC,2.773660229,A
2020-09-23 00:00:00 UTC,2.940215514,A
2020-09-24 00:00:00 UTC,2.835500587,A
2020-09-25 00:00:00 UTC,3.130126407,A
2020-09-26 00:00:00 UTC,3.19100605,A
2020-09-27 00:00:00 UTC,3.135145216,A
2020-09-28 00:00:00 UTC,3.165994885,A
2020-09-29 00:00:00 UTC,2.955775151,A
2020-09-30 00:00:00 UTC,2.945119039,A
2020-10-01 00:00:00 UTC,2.895851724,A
2020-10-02 00:00:00 UTC,2.866125781,A
2020-10-03 00:00:00 UTC,2.628903911,A
2020-10-04 00:00:00 UTC,2.553637808,A
2020-10-05 00:00:00 UTC,2.522557078,A
2020-10-06 00:00:00 UTC,2.652751429,A
2020-10-07 00:00:00 UTC,2.174595988,A
2020-10-08 00:00:00 UTC,2.290102499,A
2020-10-09 00:00:00 UTC,2.362657311,A
2020-10-10 00:00:00 UTC,2.539492735,A
2020-10-11 00:00:00 UTC,2.405568638,A
2020-10-12 00:00:00 UTC,2.418105546,A
2020-10-13 00:00:00 UTC,2.583581446,A
2020-10-14 00:00:00 UTC,2.402275769,A
2020-10-15 00:00:00 UTC,2.31915368,A
2020-10-16 00:00:00 UTC,2.268549825,A
2020-10-17 00:00:00 UTC,2.14109699,A
2020-10-18 00:00:00 UTC,2.203563201,A
2020-10-19 00:00:00 UTC,2.211921024,A
2020-10-20 00:00:00 UTC,2.056854399,A
2020-10-21 00:00:00 UTC,1.885885987,A
2020-10-22 00:00:00 UTC,1.880968953,A
2020-10-23 00:00:00 UTC,1.953886847,A
2020-10-24 00:00:00 UTC,1.957174534,A
2020-10-25 00:00:00 UTC,1.912534837,A
2020-10-26 00:00:00 UTC,1.791012455,A
2020-10-27 00:00:00 UTC,1.684800755,A
2020-10-28 00:00:00 UTC,1.715941507,A
2020-10-29 00:00:00 UTC,1.518543431,A
2020-10-30 00:00:00 UTC,1.428846691,A
2020-10-31 00:00:00 UTC,1.440645797,A
2020-11-01 00:00:00 UTC,1.535551453,A
2020-11-02 00:00:00 UTC,1.600572442,A
2020-11-03 00:00:00 UTC,1.47523533,A
2020-11-04 00:00:00 UTC,1.412635643,A
2020-11-05 00:00:00 UTC,1.393307046,A
2020-11-06 00:00:00 UTC,1.405708358,A
2020-11-07 00:00:00 UTC,1.92596915,A
2020-11-08 00:00:00 UTC,2.032391503,A
2020-11-09 00:00:00 UTC,2.15534489,A
2020-11-10 00:00:00 UTC,2.028511604,A
2020-11-11 00:00:00 UTC,2.252786688,A
2020-11-12 00:00:00 UTC,2.000194697,A
2020-11-13 00:00:00 UTC,1.896790484,A
2020-11-14 00:00:00 UTC,2.017595354,A
2020-11-15 00:00:00 UTC,1.919820809,A
2020-11-16 00:00:00 UTC,2.040679131,A
2020-11-17 00:00:00 UTC,2.262358998,A
2020-11-18 00:00:00 UTC,2.197190779,A
2020-11-19 00:00:00 UTC,2.117886192,A
2020-11-20 00:00:00 UTC,2.070684202,A
2020-11-21 00:00:00 UTC,2.099258903,A
2020-11-22 00:00:00 UTC,2.381429683,A
2020-11-23 00:00:00 UTC,2.151813535,A
2020-11-24 00:00:00 UTC,2.273388487,A
2020-11-25 00:00:00 UTC,2.259914141,A
2020-11-26 00:00:00 UTC,2.264612998,A
2020-11-27 00:00:00 UTC,1.901905045,A
2020-11-28 00:00:00 UTC,1.859262987,A
2020-11-29 00:00:00 UTC,1.890375956,A
2020-11-30 00:00:00 UTC,1.913342978,A
2020-12-01 00:00:00 UTC,1.965246985,A
2020-12-02 00:00:00 UTC,1.982115584,A
2020-12-03 00:00:00 UTC,2.117381961,A
2020-12-04 00:00:00 UTC,2.096751319,A
2020-12-05 00:00:00 UTC,1.858485553,A
2020-12-06 00:00:00 UTC,1.978660335,A
2020-12-07 00:00:00 UTC,1.851301552,A
2020-12-08 00:00:00 UTC,1.830633589,A
2020-12-09 00:00:00 UTC,1.670368617,A
2020-12-10 00:00:00 UTC,1.66493735,A
2020-12-11 00:00:00 UTC,1.576507891,A
2020-12-12 00:00:00 UTC,1.44966928,A
2020-12-13 00:00:00 UTC,1.490849713,A
2020-12-14 00:00:00 UTC,1.566571104,A
2020-12-15 00:00:00 UTC,1.590457215,A
2020-12-16 00:00:00 UTC,1.752967647,A
2020-12-17 00:00:00 UTC,1.779209479,A
2020-12-18 00:00:00 UTC,1.677764317,A
2020-12-19 00:00:00 UTC,1.699778561,A
2020-12-20 00:00:00 UTC,1.668308559,A
2020-12-21 00:00:00 UTC,1.563348351,A
2020-12-22 00:00:00 UTC,1.543420537,A
2020-12-23 00:00:00 UTC,1.49288377,A
2020-12-24 00:00:00 UTC,1.206243024,A
2020-12-25 00:00:00 UTC,1.363459012,A
2020-12-26 00:00:00 UTC,1.445884806,A
2020-12-27 00:00:00 UTC,1.328260798,A
2020-12-28 00:00:00 UTC,1.306540128,A
2020-12-29 00:00:00 UTC,1.51912825,A
2020-12-30 00:00:00 UTC,1.676068535,A
2020-12-31 00:00:00 UTC,1.537839088,A
2021-01-01 00:00:00 UTC,1.515807496,A
2021-01-02 00:00:00 UTC,1.841140876,A
2021-01-03 00:00:00 UTC,1.802628913,A
2021-01-04 00:00:00 UTC,2.14770799,A
2021-01-05 00:00:00 UTC,2.421784607,A
2021-01-06 00:00:00 UTC,2.161868957,A
2021-01-07 00:00:00 UTC,1.923185464,A
2021-01-08 00:00:00 UTC,2.367409285,A
2021-01-09 00:00:00 UTC,3.234482123,A
2021-01-10 00:00:00 UTC,3.388588369,A
2021-01-11 00:00:00 UTC,3.473732232,A
2021-01-12 00:00:00 UTC,3.10762749,A
2021-01-13 00:00:00 UTC,3.586764677,A
2021-01-14 00:00:00 UTC,3.520762209,A
2021-01-15 00:00:00 UTC,3.278193489,A
2021-01-16 00:00:00 UTC,3.255779395,A
2021-01-17 00:00:00 UTC,3.4518655,A
2021-01-18 00:00:00 UTC,3.815984156,A
2021-01-19 00:00:00 UTC,3.77514664,A
2021-01-20 00:00:00 UTC,3.641431312,A
2021-01-21 00:00:00 UTC,3.729115837,A
2021-01-22 00:00:00 UTC,2.998811475,A
2021-01-23 00:00:00 UTC,3.341360079,A
2021-01-24 00:00:00 UTC,3.501568303,A
2021-01-25 00:00:00 UTC,3.631707075,A
2021-01-26 00:00:00 UTC,3.713999633,A
2021-01-27 00:00:00 UTC,4.032884054,A
2021-01-28 00:00:00 UTC,3.699511535,A
2021-01-29 00:00:00 UTC,3.817402068,A
2021-01-30 00:00:00 UTC,3.864348593,A
2021-01-31 00:00:00 UTC,4.233485773,A
